BUG_ID,STATUS,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE,CHG_ASSIGNEE
361090,new:---,germanilyin,birt,reportengine,uns,all,all,P3,normal,birtreportengineinbox,0
361156,resolved:wontfix,bodinnicolas,birt,chart,3.7,pc,windows xp,P3,normal,birtchartinbox,0
361224,new:---,jens.weintraut,birt,reportengine,2.6,pc,windows 7,P3,normal,birtreportengineinbox,0
361285,new:---,doninodonino,birt,reportengine,3.7,pc,windows 7,P3,normal,birtreportengineinbox,0
362007,verified:worksforme,marc.marshall,birt,reportengine,2.6,pc,windows xp,P3,critical,birtreportengineinbox,0
362042,new:---,shabzmisingname,birt,reportviewer,3.7,pc,all,P3,blocker,birtreportviewer,1
362057,reopened:---,taraskopets,birt,reportviewer,uns,all,all,P3,critical,weiyan,1
362245,new:---,yaytay,birt,reportengine,uns,all,all,P3,major,birtreportengineinbox,0
362282,new:---,mikatapanainen,birt,reportengine,uns,all,all,P3,enhancement,birtreportengineinbox,0
362296,resolved:worksforme,anjulucky1980,birt,reportviewer,2.5,pc,windows vista,P3,enhancement,birtreportviewer,0
362408,new:---,chandan,birt,reportviewer,uns,pc,windows xp,P3,normal,birtreportviewer,0
362416,resolved:duplicate,hendyirawan,birt,reportviewer,3.7,pc,linux,P3,critical,birtreportviewer,0
362460,resolved:invalid,roxanam.,birt,reportengine,3.7,pc,linux,P3,major,birtreportengineinbox,0
362567,resolved:fixed,françoisdenisgonthier,birt,reportdesigner,uns,pc,linux,P3,normal,chenchao,1
362714,resolved:fixed,suhana,birt,dataaccess,3.7,pc,windows xp,P3,blocker,pshi,1
362837,new:---,raishad,birt,reportviewer,2.6,pc,windows server 2008,P3,critical,birtreportviewer,0
363043,resolved:worksforme,marco,birt,reportengine,3.7,pc,windows xp,P3,major,birtreportengineinbox,1
363055,closed:duplicate,ghislaingadbois,birt,reportengine,2.6,pc,windows xp,P3,normal,birtreportengineinbox,0
363056,new:---,philippemarsteau,birt,data,3.7,pc,windows 7,P3,major,birtdatainbox,1
363189,resolved:worksforme,dodgerphan,birt,reportdesigner,uns,pc,windows xp,P3,normal,birtreportdesigner,0
363260,resolved:worksforme,chelios,birt,reportengine,uns,pc,windows xp,P3,critical,birtreportengineinbox,1
363336,resolved:duplicate,taraskopets,birt,reportviewer,uns,all,all,P3,normal,birtreportviewer,1
363526,new:---,t.fischer,birt,chart,3.7,pc,windows 7,P3,enhancement,birtchartinbox,0
363527,new:---,t.fischer,birt,chart,3.7,pc,windows 7,P3,enhancement,birtchartinbox,0
363529,new:---,t.fischer,birt,chart,3.7,pc,windows 7,P3,enhancement,birtchartinbox,0
363531,new:---,t.fischer,birt,chart,3.7,pc,windows 7,P3,enhancement,birtchartinbox,0
363532,new:---,karthik,birt,build,uns,pc,windows xp,P3,normal,birtbuild,0
363673,new:---,raghava,birt,data,uns,pc,windows xp,P3,critical,birtdatainbox,0
363754,resolved:fixed,waynebeaton,birt,documentation,uns,pc,linux,P3,normal,birtdocumentation,0
363766,new:---,sudheendrawalvekar,birt,dataaccess,uns,pc,windows 7,P3,normal,birtdataaccess,0
