CHG_PROJECT,CHG_COMPONENT,CHG_VERSION,CHG_HW,CHG_OS,CHG_PRIORITY,CHG_SEVERITY,CHG_ASSIGNEE,BUG_ID,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE
0,0,0,0,0,0,0,0,408929,xiaoxiaowu,birt,reportdesigner,4.3.2,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,409022,krishnavenkatraman,birt,data,4.3,pc,windows7,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,409106,leidu,birt,reportviewer,4.3,pc,windows7,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,0,409110,leidu,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesigner
0,0,0,0,0,0,0,0,409111,xiaoxiaowu,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,409114,antalvarga,birt,reportdesigner,3.7,pc,all,P3,minor,birtreportdesignerinbox
0,0,0,0,0,0,0,0,409240,konstantinkudrinsky,birt,reportengine,4.2,pc,windows7,P3,critical,birtreportengineinbox
0,0,0,0,0,0,0,0,409690,haozhou,birt,reportengine,4.3,pc,windows7,P3,critical,birtreportengineinbox
0,0,0,0,0,0,0,0,409905,jessiefeng,birt,reportdesigner,uns,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,410107,kitlo,birt,documentation,4.3,pc,windowsxp,P3,normal,birtdocumentationinbox
0,0,0,0,0,0,0,0,410135,liwenchen,birt,reportviewer,4.3,pc,windows7,P3,major,birtreportviewer
0,0,0,0,0,0,0,0,410238,davidgoldfarb,birt,chart,4.2,pc,windows7,P3,normal,birtchartinbox
0,0,0,0,0,0,0,0,410259,jessiefeng,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesigner
0,0,0,0,0,0,0,0,410277,liwenchen,birt,reportviewer,4.3,pc,windows7,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,0,410278,xiaoyinggu,birt,build,4.2,pc,windows7,P3,normal,birtbuildinbox
0,0,0,0,0,0,0,0,410281,liwenchen,birt,reportviewer,4.3,pc,windows7,P3,normal,birtreportviewerinbox
0,0,0,0,0,0,0,0,410588,ihorpet,birt,reportengine,3.7,pc,windows7,P3,major,birtreportengineinbox
0,0,0,0,0,0,0,0,410905,antonyseedhouse,birt,dataaccess,4.3,pc,windows7,P3,normal,birtdataaccessinbox
0,0,0,0,0,0,0,0,411249,patricrufflar,birt,reportdesigner,4.2,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,411631,saeryunlim,birt,data,4.3,pc,windows7,P3,normal,birtdatainbox
0,0,0,0,0,0,0,1,411632,saeryunlim,birt,data,4.3,pc,windows7,P3,normal,birtdatainbox
0,0,1,0,0,0,0,1,411784,saeryunlim,birt,data,uns,pc,windows7,P3,normal,birtdatainbox
0,0,0,0,0,0,0,0,411807,saeryunlim,birt,data,4.3,pc,windows7,P3,normal,birtdatainbox
